id,sku,item_name,item_category,brand,bottle_size_ml,unit_type,units_per_case,location_name,location_stock,location_cost_price,location_selling_price,location_mrp,global_cost_price,global_selling_price,global_mrp,global_stock,tax_rate,reorder_level,reorder_qty,cogs_account_code,income_account_code,inventory_account_code
d20f5087-48f0-4ec3-950c-d7393884aed4,HI-001,Highlander Full,Vodka,Highlander,750,Bottle,12,Gokarna,3,1034,1160,1160,1034,1160,1160,3,0,10,0,5100,4100,1200
d20f5087-48f0-4ec3-950c-d7393884aed4,HI-001,Highlander Full,Vodka,Highlander,750,Bottle,12,House,0,1034,1335,1160,1034,1160,1160,3,0,10,0,5100,4100,1200
5018c912-57b9-49d5-9618-e9156f5150e5,HI-002,Highlander Half,Vodka,Highlander,375,Bottle,24,Gokarna,38,522.92,580,580,522.92,580,580,38,0,10,10,5100,4100,1200
5018c912-57b9-49d5-9618-e9156f5150e5,HI-002,Highlander Half,Vodka,Highlander,375,Bottle,24,House,0,522.92,665,580,522.92,580,580,38,0,10,10,5100,4100,1200
3f737cab-beef-4873-8d28-30f48bb20818,HI-003,Highlander Qtr,Vodka,Highlander,180,Bottle,48,Gokarna,80,261.46,300,300,261.46,300,300,80,0,10,15,5100,4100,1200
3f737cab-beef-4873-8d28-30f48bb20818,HI-003,Highlander Qtr,Vodka,Highlander,180,Bottle,48,House,0,261.46,345,300,261.46,300,300,80,0,10,15,5100,4100,1200
4376ce7f-e0ae-498d-849d-0f0b494d84a7,HU-001,Hukka Coil,Hukka,,0,PCS,12,Gokarna,30,50,100,100,50,100,100,30,0,10,5,5100,4100,1200
4376ce7f-e0ae-498d-849d-0f0b494d84a7,HU-001,Hukka Coil,Hukka,,0,PCS,12,House,0,50,115,100,50,100,100,30,0,10,5,5100,4100,1200
40fbbd89-07a1-47e1-a405-0895aaa937cb,HU-002,Hukka Flav Export qlty,Hukka,,0,PCS,12,Gokarna,35,200,270,270,200,270,270,35,0,10,5,5100,4100,1200
40fbbd89-07a1-47e1-a405-0895aaa937cb,HU-002,Hukka Flav Export qlty,Hukka,,0,PCS,12,House,0,200,310,270,200,270,270,35,0,10,5,5100,4100,1200
eae845d0-b1e2-4462-9868-29d0396bc787,HU-003,Hukka Flv Nrml,Hukka,,0,PCS,10,Gokarna,41,170,210,210,170,210,210,41,0,10,0,5100,4000,1200
eae845d0-b1e2-4462-9868-29d0396bc787,HU-003,Hukka Flv Nrml,Hukka,,0,PCS,10,House,0,170,240,210,170,210,210,41,0,10,0,5100,4000,1200
14d7df51-8595-4243-93bb-a9ce2c212940,HU-004,Hukka paper,Hukka,,0,PCS,12,Gokarna,109,2.5,5,5,2.5,5,5,109,0,10,10,5100,4100,1200
14d7df51-8595-4243-93bb-a9ce2c212940,HU-004,Hukka paper,Hukka,,0,PCS,12,House,0,2.5,5,5,2.5,5,5,109,0,10,10,5100,4100,1200
cb30eae7-fa42-4100-89f3-33da222fa8c8,JA-001,Jack Daniel's 1L,Other,JD,1000,Bottle,,Gokarna,0,6750,8100,8100,6750,0,8100,0,0,2,9,5100,4100,1200
cb30eae7-fa42-4100-89f3-33da222fa8c8,JA-001,Jack Daniel's 1L,Other,JD,1000,Bottle,,House,0,6750,9315,8100,6750,0,8100,0,0,2,9,5100,4100,1200
85dabd87-2e17-4fc1-8822-5837ae66021f,JA-002,Jar Water,Water,,2000,PCS,1,Gokarna,10,25,35,35,25,35,35,10,0,2,2,5100,4100,1200
85dabd87-2e17-4fc1-8822-5837ae66021f,JA-002,Jar Water,Water,,2000,PCS,1,House,0,25,40,35,25,35,35,10,0,2,2,5100,4100,1200
2149eeae-1056-4160-bf17-cb71cf454395,JP-001,JP chenet,Wine,French Wine,750,Bottle,12,Gokarna,3,1800,2200,2200,1800,2200,2200,3,0,0,0,5100,4100,1200
2149eeae-1056-4160-bf17-cb71cf454395,JP-001,JP chenet,Wine,French Wine,750,Bottle,12,House,0,1800,2530,2200,1800,2200,2200,3,0,0,0,5100,4100,1200
f51bffdf-4860-461e-ab42-cdfc4c941cb7,KH-001,Khukri Rum Full,Rum,Khukuri,750,Bottle,12,Gokarna,4,2000,2200,2200,2000,2200,2200,4,0,2,12,5100,4100,1200
f51bffdf-4860-461e-ab42-cdfc4c941cb7,KH-001,Khukri Rum Full,Rum,Khukuri,750,Bottle,12,House,0,2000,2530,2200,2000,2200,2200,4,0,2,12,5100,4100,1200
5784078a-3fad-484a-a81c-32a60784be4e,KH-002,Khukri Rum Half,Rum,Khukuri,375,Bottle,24,Gokarna,0,995.83,1100,1100,995.83,1100,1100,0,0,2,24,5100,4100,1200
5784078a-3fad-484a-a81c-32a60784be4e,KH-002,Khukri Rum Half,Rum,Khukuri,375,Bottle,24,House,0,995.83,1265,1100,995.83,1100,1100,0,0,2,24,5100,4100,1200
ea56a0a1-a21a-4661-89d1-c9fbe5e21884,KH-003,Khukri Rum Qtr,Rum,Khukuri,180,PCS,48,Gokarna,0,500,550,550,500,550,550,0,0,2,48,5100,4100,1200
ea56a0a1-a21a-4661-89d1-c9fbe5e21884,KH-003,Khukri Rum Qtr,Rum,Khukuri,180,PCS,48,House,0,500,630,550,500,550,550,0,0,2,48,5100,4100,1200
e6c62fab-60b4-411e-9c23-2a71e8c5c4a8,KI-001,Kings Hill Red,Wine,,750,Bottle,,Gokarna,0,756,907.2,907.2,756,0,907.2,0,0,2,9,5100,4100,1200
